cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,id_region,region,cve_geo,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7800975,ACADEMIA DE DANZA OHANA,,611611,Escuelas de arte del sector privado,6 a 10 personas,20.95222313,-89.62018364,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4532357,ACADEMIA DE DANZA OHANA,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.9762282,-89.58932208,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4489103,ACADEMIA DE DANZA PIES DANZANTES,,611611,Escuelas de arte del sector privado,6 a 10 personas,20.95558862,-89.58296914,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8353253,ACADEMIA DE DANZA PRO-ARTE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.99436653,-89.57693918,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4589267,ACADEMIA DE DANZA RAQUE,,611611,Escuelas de arte del sector privado,6 a 10 personas,20.96533061,-89.59422585,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4583804,ACADEMIA DE DANZA ROYAL,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.00013234,-89.58926657,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4519755,ACADEMIA DE DANZA SAMIRA MRAD,ACADEMIA DE DANZA ,611611,Escuelas de arte del sector privado,11 a 30 personas,21.0124158,-89.63911084,2011-03
31,Yucatán       ,041,Kanasin,Kanasin,2,II Noroeste ,31041,1,Kanasin,8362842,ACADEMIA DE DANZA SIN NOMBRE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.93730397,-89.55889674,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4523713,ACADEMIA DE DANZA STYLUS,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.97232673,-89.67737585,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,9089321,ACADEMIA DE DANZA TDS,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.94382488,-89.59816035,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4537960,ACADEMIA DE DANZA TE HERE FENUA,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.00179151,-89.58035716,2014-12
31,Yucatán       ,089,Ticul,Ticul,7,VII Sur ,31089,1,Ticul,4556871,ACADEMIA DE DANZA TERESA OSORIO,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.40153398,-89.53534436,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4515394,ACADEMIA DE DANZA UKELELE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.95569816,-89.60229532,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4540757,ACADEMIA DE DANZA VARUA,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.98565564,-89.53582002,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4523728,ACADEMIA DE DANZA WILIKINIA,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.98606013,-89.69946648,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7006595,ACADEMIA DE DANZA YAIRIANE ESTUDIO,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.93738315,-89.60682933,2019-11
