cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,id_region,region,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,Yucatán       ,041,Kanasin,Kanasín,31041,2,II Noroeste ,1,Kanasín,9322586,ENERGETICOS INTERNACIONALES,ENERGETICOS INTERNACIONALES SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.94479047,-89.56437333,2020-11
31,Yucatán       ,028,Dzilam de Bravo,Dzilam de Bravo,31028,4,IV Litoral centro ,1,Dzilam de Bravo,9285809,ESTACION 13128,PEDRO CASTILLO REYES ,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.39408357,-88.88578592,2020-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,4580390,ESTACIÓN ABIMERHI,,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.96908583,-89.62534475,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8939994,ESTACIÓN AEROPUERTO MERIDA,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.93226363,-89.67374444,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6873966,ESTACIÓN CHUBURNA,MEGASERVICIOS SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.02030296,-89.63524261,2019-04
31,Yucatán       ,013,Conkal,Conkal,31013,2,II Noroeste ,44,El Huero [Deshuesadero],8836333,ESTACIÓN CONKAL,MEGASERVICIOS SA DE CV,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,21.10085963,-89.51844749,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,4516086,ESTACIÓN DE SERVICIO  BOLICHE,ADMINISTRACION DE ESTACIONES DEL SURESTE SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,21.01538034,-89.60804977,2010-07
31,Yucatán       ,027,Dzidzantun,Dzidzantún,31027,4,IV Litoral centro ,1,Dzidzantún,4516074,ESTACIÓN DE SERVICIO  E00539 GASOLINERA SAN LUCAS,SERVICIO SAN LUCAS DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,21.24493419,-89.0465422,2010-07
31,Yucatán       ,096,Tizimin,Tizimín,31096,5,V Noreste ,1,Tizimín,4516096,ESTACIÓN DE SERVICIO  E00564,COMBUSTIBLES Y LUBRICANTES DE ORIENTE SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.14631677,-88.16042243,2014-12
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6413994,ESTACIÓN DE SERVICIO  E05584,COMBUSTIBLES Y LUBRICANTES DE MÉRIDA SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.9323187,-89.6736477,2011-03
31,Yucatán       ,041,Kanasin,Kanasín,31041,2,II Noroeste ,1,Kanasín,4516078,ESTACIÓN DE SERVICIO  E08037,,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,20.96508006,-89.55158845,2010-07
31,Yucatán       ,041,Kanasin,Kanasín,31041,2,II Noroeste ,1,Kanasín,4516079,ESTACIÓN DE SERVICIO  SAN IDELFONSO E11066,"ESTACIÓN DE SERVICIO SAN IDELFONSO, S.A. DE C . V. SA DE CV",468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.95342589,-89.56448048,2014-12
31,Yucatán       ,032,Espita,Espita,31032,5,V Noreste ,1,Espita,4548650,ESTACION DE SERVICIO 10904,INMOBILIARIA MVC PENINSULAR SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.00785864,-88.29602583,2014-12
31,Yucatán       ,007,Cacalchen,Cacalchén,31007,4,IV Litoral centro ,1,Cacalchén,6862801,ESTACION DE SERVICIO 3HS,ESTACION DE SERVICIO 3HS SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,20.98502009,-89.23794028,2019-04
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,4551696,ESTACION DE SERVICIO 5881,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.93332574,-89.67221214,2014-12
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6856545,ESTACION DE SERVICIO CAUCEL,ESTACION DE SERVICIO CAUCEL SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.00083021,-89.68213229,2019-04
31,Yucatán       ,102,Valladolid,Valladolid,31102,6,VI Oriente,1,Valladolid,6415201,ESTACIÓN DE SERVICIO CHAN YAXCHE,,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,20.69297315,-88.17379742,2010-07
